,km,year,test_cost,price,num_of_hand,Engine_Size,electric,disel,gasoline,automatic,manual,private,leasing,rent,else,Manufacturer
5588,73000,2018,1604,89000,3,1998.0,0,0,1,1,0,0,1,0,0,17
5589,145000,2019,1604,100000,1,1580.0,0,0,1,1,0,0,1,0,0,13
5590,155000,2014,1962,65000,1,3497.0,0,0,1,1,0,0,1,0,0,29
5591,199000,2010,1262,23900,4,1591.0,0,0,1,1,0,1,0,0,0,13
5592,505,2023,4731,430000,1,1995.0,0,0,1,1,0,1,0,0,0,7
5593,72000,2018,1604,74900,1,1591.0,0,0,1,1,0,0,1,0,0,13
5594,98000,2018,1604,104900,2,1580.0,0,0,1,1,0,0,1,0,0,35
5595,86000,2019,2563,176500,2,1798.0,0,0,1,1,0,1,0,0,0,27
5596,90000,2021,1811,143500,2,999.0,0,0,1,1,0,1,0,0,0,27
5597,175000,2014,1962,82500,3,1598.0,0,0,1,1,0,1,0,0,0,6
5598,115000,2018,2019,132500,3,1999.0,0,0,1,1,0,1,0,0,0,13
5599,133000,2016,2397,150000,4,1991.0,0,0,1,1,0,1,0,0,0,0
5600,110000,2016,1693,107500,3,1999.0,0,0,1,1,0,1,0,0,0,13
5601,9000,2022,4731,325000,1,1332.0,0,0,1,1,0,1,0,0,0,0
5602,40000,2021,3366,249990,2,1332.0,1,0,1,1,0,1,0,0,0,0
5603,98400,2018,2019,96903,2,1499.0,0,0,1,1,0,1,0,0,0,6
5604,115000,2017,3357,189990,2,1984.0,0,0,1,1,0,1,0,0,0,1
5605,83000,2020,2019,159990,1,1498.0,0,0,1,1,0,1,0,0,0,1
5606,87000,2016,1424,65000,2,1197.0,0,0,1,1,0,1,0,0,0,25
5607,180000,2013,1693,59900,3,2488.0,0,0,1,1,0,0,0,0,1,17
5608,160000,2017,2563,99999,1,1997.0,0,1,0,1,0,1,0,0,0,31
5609,198000,2013,1427,18000,4,1999.0,0,0,1,1,0,0,1,0,0,29
5610,175000,2018,1835,72900,1,1498.0,0,0,1,1,0,1,0,0,0,10
5611,120000,2017,1102,39999,2,1198.0,0,0,1,1,0,1,0,0,0,21
5612,160000,2017,1424,64000,1,1395.0,0,0,1,1,0,1,0,0,0,27
5613,139000,2018,1604,78000,1,1586.0,0,0,1,1,0,1,0,0,0,24
5614,118000,2018,1604,79900,1,1461.0,0,1,0,0,1,1,0,0,0,8
5615,90000,2019,1604,99999,2,1580.0,0,0,1,1,0,1,0,0,0,35
